ballot_id,1,2,3,4,5
0,0,3,2,4,1
1,4,0,3,1,2
2,1,3,4,2,0
3,3,2,0,4,1
4,2,3,0,4,1
5,3,2,1,0,4
6,3,2,1,4,0
7,3,2,0,1,4
8,2,3,0,1,4
9,0,3,2,4,1
10,2,3,0,1,4
11,3,2,4,1,0
12,1,3,2,4,0
13,4,0,3,1,2
14,0,3,2,4,1
15,3,2,0,1,4
16,1,3,2,4,0
17,1,4,3,2,0
18,4,0,1,3,2
19,4,1,0,3,2
20,2,0,3,4,1
21,4,0,1,3,2
22,3,2,0,1,4
23,3,2,1,4,0
24,2,3,0,4,1
25,3,2,0,1,4
26,0,3,4,2,1
27,0,4,3,2,1
28,3,1,2,4,0
29,2,3,0,1,4
30,3,2,0,1,4
31,3,2,1,0,4
32,4,1,3,0,2
33,3,2,0,4,1
34,4,3,0,1,2
35,0,3,2,4,1
36,0,3,2,4,1
37,3,0,2,4,1
38,3,0,2,4,1
39,4,0,1,3,2
40,1,3,4,2,0
41,4,1,0,3,2
42,3,1,2,4,0
43,3,2,1,4,0
44,3,2,0,1,4
45,1,3,4,2,0
46,0,3,2,4,1
47,2,0,3,4,1
48,4,1,0,3,2
49,4,1,0,3,2
50,4,1,0,3,2
51,3,2,1,4,0
52,2,3,0,1,4
53,3,1,2,4,0
54,2,3,0,4,1
55,3,2,0,1,4
56,4,0,3,1,2
57,3,2,0,4,1
58,2,3,0,1,4
59,2,3,0,4,1
60,1,4,3,2,0
61,0,4,3,2,1
62,1,3,2,4,0
63,2,3,0,4,1
64,3,2,0,4,1
65,1,4,3,0,2
66,0,4,3,2,1
67,2,3,0,1,4
68,0,3,2,4,1
69,3,2,0,4,1
70,2,3,0,1,4
71,2,3,0,4,1
72,3,2,1,0,4
73,2,3,0,1,4
74,4,0,3,1,2
75,3,2,0,1,4
76,3,2,0,4,1
77,3,2,0,4,1
78,0,4,3,2,1
79,2,3,0,1,4
80,1,4,3,2,0
81,0,2,3,4,1
82,2,0,3,4,1
83,0,2,3,4,1
84,1,3,4,2,0
85,2,3,0,1,4
86,3,2,1,4,0
87,0,4,3,2,1
88,3,2,0,4,1
89,3,2,1,4,0
90,3,2,0,1,4
91,2,3,0,4,1
92,0,2,3,4,1
93,0,3,4,2,1
94,0,4,3,2,1
95,0,3,2,4,1
96,4,0,3,1,2
97,2,3,0,1,4
98,0,3,2,4,1
99,3,2,1,0,4
100,4,1,0,3,2
101,3,2,1,4,0
102,1,4,3,2,0
103,3,2,1,0,4
104,0,4,3,2,1
105,0,4,3,2,1
106,2,3,1,0,4
107,3,1,2,4,0
108,3,0,2,4,1
109,3,1,2,4,0
110,3,2,1,4,0
111,1,3,4,2,0
112,1,3,4,2,0
113,3,2,0,1,4
114,1,3,4,2,0
115,3,2,0,1,4
116,2,3,0,1,4
117,4,0,3,1,2
118,0,3,2,4,1
119,3,2,0,1,4
120,1,3,2,4,0
121,0,3,4,2,1
122,3,2,0,4,1
123,3,2,0,1,4
124,0,3,2,4,1
125,4,1,3,0,2
126,0,2,3,4,1
127,3,1,2,4,0
128,2,3,1,0,4
129,0,2,3,4,1
130,0,3,2,4,1
131,2,0,3,4,1
132,4,0,3,1,2
133,3,2,1,0,4
134,3,2,1,0,4
135,0,3,2,4,1
136,3,2,0,4,1
137,3,2,0,1,4
138,0,3,2,4,1
139,4,3,1,0,2
140,4,1,3,0,2
141,0,2,3,4,1
142,1,3,4,2,0
143,0,2,3,4,1
144,3,2,1,0,4
145,3,1,2,4,0
146,1,4,3,2,0
147,3,2,0,1,4
148,3,4,1,0,2
149,2,3,0,1,4
150,4,1,3,0,2
151,0,2,3,4,1
152,0,3,2,4,1
153,4,3,0,1,2
154,2,3,0,4,1
155,0,2,3,4,1
156,0,4,3,1,2
157,0,3,2,4,1
158,4,0,3,1,2
159,3,2,1,0,4
160,3,2,0,4,1
161,3,2,1,0,4
162,4,0,3,1,2
163,3,1,2,4,0
164,3,2,0,4,1
